,date,salary_index,value_12m_change,property_index,salary,salary_yearly,property,finance_index
155,2001-12-01,217.0,0.09595959595959602,15.437,182528.41144753213,2190340.9373703855,13842961.956521736,6.320003301924726
156,2002-01-01,224.6,0.09990205680705189,15.5373,188921.1115719618,2267053.338863542,13932904.891304346,6.145821385168121
157,2002-02-01,224.8,0.09765625,15.6576,189089.34052260473,2269072.0862712567,14040782.608695652,6.18789623020251
158,2002-03-01,225.0,0.08695652173913038,15.6977,189257.5694732476,2271090.833678971,14076741.847826086,6.198229343836054
159,2002-04-01,225.4,0.08001916626736949,15.437,189594.02737453338,2275128.3284944007,13842961.956521736,6.084475228561071
160,2002-05-01,225.8,0.07523809523809533,15.828,189930.48527581914,2279165.8233098295,14193586.956521736,6.227535886752485
161,2002-06-01,226.3,0.06896551724137945,15.6375,190351.05765242636,2284212.691829116,14022758.15217391,6.138989684426009
162,2002-07-01,226.5,0.06638418079096042,15.838,190519.28660306925,2286231.439236831,14202554.347826086,6.212211985225369
163,2002-08-01,226.7,0.05984104721832617,15.9282,190687.51555371212,2288250.1866445453,14283440.217391305,6.242079778145379
164,2002-09-01,227.2,0.05772811918063314,16.0986,191108.08793031934,2293297.055163832,14436244.56521739,6.294973663665248
165,2002-10-01,227.9,0.05901486988847582,16.4094,191696.88925756945,2300362.6710908334,14714951.086956521,6.396796153877198
166,2002-11-01,228.1,0.05650764242704942,16.4796,191865.11820821234,2302381.418498548,14777902.173913043,6.418529117364991
167,2002-12-01,228.7,0.053917050691244084,16.5998,192369.805060141,2308437.660721692,14885690.217391303,6.448383021414387
168,2003-01-01,237.0,0.05520926090828149,16.9407,199351.3065118208,2392215.6781418496,15191388.58695652,6.35034237329153
169,2003-02-01,237.5,0.056494661921708156,17.0609,199771.878888428,2397262.546661136,15299176.630434781,6.381936201248878
170,2003-03-01,237.8,0.05688888888888899,17.3917,200024.22231439236,2400290.6677727085,15595817.934782607,6.497470553953521
